Date,Price,Open,High,Low,Vol.,Change %
2020-06-02,1727.97,1740.93,1745.54,1721.52,,-0.71%
2020-06-01,1740.34,1736.42,1744.52,1727.03,,0.70%
2020-05-29,1728.30,1721.70,1738.99,1713.79,,0.52%
2020-05-28,1719.40,1709.68,1727.69,1707.19,,0.59%
2020-05-27,1709.25,1712.03,1715.77,1693.60,,-0.19%
2020-05-26,1712.45,1729.65,1736.29,1708.31,,-0.99%
2020-05-25,1729.57,1734.73,1735.57,1720.47,,-0.37%
2020-05-22,1736.07,1725.26,1741.51,1724.29,,0.56%
2020-05-21,1726.34,1750.18,1750.64,1717.56,,-1.32%
2020-05-20,1749.50,1744.44,1754.08,1740.91,,0.25%
2020-05-19,1745.11,1733.37,1748.77,1725.83,,0.74%
2020-05-18,1732.32,1742.93,1764.81,1726.26,,-0.61%
2020-05-15,1743.00,1731.13,1753.25,1728.52,,0.71%
2020-05-14,1730.65,1715.01,1737.34,1710.39,,0.85%
2020-05-13,1715.99,1701.21,1718.33,1697.92,,0.78%
2020-05-12,1702.72,1696.25,1711.04,1692.28,,0.32%
2020-05-11,1697.35,1703.76,1713.67,1691.56,,-0.31%
2020-05-08,1702.65,1717.46,1724.56,1701.61,,-0.89%
2020-05-07,1717.94,1686.08,1722.02,1681.96,,1.90%
2020-05-06,1685.88,1705.77,1707.85,1681.34,,-1.25%
2020-05-05,1707.17,1701.78,1712.60,1691.13,,0.32%
2020-05-04,1701.69,1697.26,1712.00,1690.96,,0.08%
2020-05-01,1700.41,1685.24,1706.21,1669.82,,0.91%
2020-04-30,1685.05,1715.22,1726.14,1684.16,,-1.60%
2020-04-29,1712.38,1708.72,1717.52,1697.72,,0.22%
2020-04-28,1708.63,1716.19,1716.19,1691.80,,-0.40%
2020-04-27,1715.57,1724.86,1727.82,1705.82,,-0.80%
2020-04-24,1729.43,1733.32,1737.89,1710.63,,-0.12%
2020-04-23,1731.59,1713.00,1738.84,1704.05,,0.98%
2020-04-22,1714.82,1686.47,1719.66,1680.05,,1.65%
2020-04-21,1687.02,1694.22,1698.48,1660.99,,-0.42%
